dataset,model,algo,seed,grad_alpha,hess_beta,scheduler,average_test_accuracy,average_worst_case_accuracy,num_epochs_trained
CUB,vits,HessianERM,0,1.0,1.0,True,0.22186412137967568,0.0,80.0
CUB,vits,HessianERM,0,1.0,0.0,True,0.9227503359317779,0.8725277808308601,99.0
CUB,vits,HessianERM,0,0.1,0.0001,True,0.8766695803403854,0.7345088452100754,99.0
CUB,vits,HessianERM,0,0.1,1e-05,True,0.928373606801033,0.8147041809558868,99.0
CUB,vits,HessianERM,0,0.01,0.0001,True,0.7611600403487683,0.5992207845489611,99.0
CUB,vits,HessianERM,0,0.01,1e-05,True,0.8932734572887421,0.7247601026296615,99.0
CUB,vits,HessianERM,0,0.001,0.0001,True,0.4668076141178608,0.12455276906985087,99.0
CUB,vits,HessianERM,0,0.0001,0.001,True,0.2217075255513191,0.0,99.0
CUB,vits,HessianERM,0,0.0001,0.0001,True,0.6669267353415489,3.1152649316936e-05,99.0
CUB,vits,HessianERM,0,0.0001,1e-06,True,0.9126034319400788,0.7209078298509121,99.0
CUB,vits,HessianERM,0,0.0001,0.0,True,0.9011152124404908,0.6947974956035614,99.0
CUB,vits,HessianERM,0,1e-05,0.0001,True,0.22178522035479542,7.0984902267808e-05,99.0
CUB,vits,HessianERM,0,1e-05,1e-05,True,0.5933331816360868,0.11513955130819871,67.0
CUB,vits,HessianERM,0,0.0,0.0001,True,0.22175586909055706,4.4365571811795e-05,99.0
CUB,vits,HessianERM,0,0.0,1e-05,True,0.6616436801850796,0.26640146810095755,99.0
CUB,vits,HessianERM,0,0.0,1e-06,True,0.9199993953560338,0.773852010567983,65.0
CUB,vits,HessianERM,0,0.0,0.0,True,0.8990503466129303,0.6883801180124283,99.0
CUB,vits,ERM,0,0.0001,0.0001,True,0.8641677397489548,0.5735981905460358,99.0
CUB,vits,ERM,1,0.0001,0.0001,True,0.8547738391160965,0.5447039517760277,99.0
CUB,vits,ERM,2,0.0001,0.0001,True,0.8665124905109406,0.5846728014945984,99.0
CUB,vits,ERM,3,0.0001,0.0001,True,0.8457717031240464,0.5288629558682442,99.0
CUB,vits,ERM,4,0.0001,0.0001,True,0.8541021049022675,0.5507631886005402,99.0
CUB,vits,ERM,20,0.0001,0.0001,True,0.6924172294139862,0.07513469262514257,99.0
