dataset,model,algo,seed,grad_alpha,hess_beta,scheduler,average_test_accuracy,average_worst_case_accuracy,num_epochs_trained
CUB,vits,HessianERM,0,1.0,1.0,True,0.22168508172035215,0.0,99
CUB,vits,HessianERM,0,1.0,0.1,True,0.22168508172035215,0.0,99
CUB,vits,HessianERM,0,1.0,0.01,True,0.7781888461112976,4.6728972811251005e-05,99
CUB,vits,HessianERM,0,1.0,0.001,True,0.9028106832504272,0.7647096437215805,99
CUB,vits,HessianERM,0,1.0,0.0001,True,0.9030023616552353,0.7332554107904434,99
CUB,vits,HessianERM,0,1.0,1e-05,True,0.8882596826553345,0.6926772332191468,99
CUB,vits,HessianERM,0,1.0,1e-07,True,0.9131335860490799,0.7509848409891129,99
CUB,vits,HessianERM,0,1.0,1e-08,True,0.8905403077602386,0.6929206931591034,99
CUB,vits,HessianERM,0,1.0,0.0,True,0.8930593472719193,0.719229068160057,99
CUB,vits,HessianERM,0,0.1,1.0,True,0.22168508172035215,0.0,99
CUB,vits,HessianERM,0,0.1,0.1,True,0.22168508172035215,0.0,99
CUB,vits,HessianERM,0,0.1,0.01,True,0.22168508172035215,0.0,99
CUB,vits,HessianERM,0,0.1,0.001,True,0.4486705276370049,0.04893947245553131,99
CUB,vits,HessianERM,0,0.1,0.0001,True,0.8839501535892487,0.7079594558477402,99
CUB,vits,HessianERM,0,0.1,1e-05,True,0.8854298454523086,0.7112149602174759,99
CUB,vits,HessianERM,0,0.1,1e-06,True,0.8883027869462967,0.713425030708313,99
CUB,vits,HessianERM,0,0.1,1e-07,True,0.8951207441091538,0.7253881895542145,99
CUB,vits,HessianERM,0,0.1,1e-08,True,0.8858926165103912,0.6925756245851517,99
CUB,vits,HessianERM,0,0.1,0.0,True,0.9009322208166123,0.7568488764762878,99
CUB,vits,HessianERM,0,0.01,1.0,True,0.22168508172035215,0.0,99
CUB,vits,HessianERM,0,0.01,0.1,True,0.22168508172035215,0.0,99
CUB,vits,HessianERM,0,0.01,0.01,True,0.22168508172035215,0.0,99
CUB,vits,HessianERM,0,0.01,0.001,True,0.5556629657745361,0.0,99
CUB,vits,HessianERM,0,0.01,0.0001,True,0.5815486264228821,0.13550935043022036,99
CUB,vits,HessianERM,0,0.01,1e-05,True,0.9027537274360656,0.7405313831567765,99
CUB,vits,HessianERM,0,0.01,1e-06,True,0.8977451181411743,0.72156633913517,99
CUB,vits,HessianERM,0,0.01,1e-07,True,0.8939088273048401,0.7154204541444779,99
CUB,vits,HessianERM,0,0.01,1e-08,True,0.9050049811601639,0.7195075577497483,99
CUB,vits,HessianERM,0,0.01,0.0,True,0.9071563178300858,0.7500145488977432,99
CUB,vits,HessianERM,0,0.001,1.0,True,0.22168508172035215,0.0,99
CUB,vits,HessianERM,0,0.001,0.1,True,0.22168508172035215,0.0,99
CUB,vits,HessianERM,0,0.001,0.01,True,0.22168508172035215,0.0,99
CUB,vits,HessianERM,0,0.001,0.001,True,0.5556629657745361,0.0,99
CUB,vits,HessianERM,0,0.001,0.0001,True,0.6961619226634502,0.0009050571924308269,99
CUB,vits,HessianERM,0,0.001,1e-05,True,0.6348962885141373,0.23765061038546265,99
CUB,vits,HessianERM,0,0.001,1e-06,True,0.9203349286317826,0.7738620322942734,99
CUB,vits,HessianERM,0,0.001,1e-07,True,0.898294141292572,0.6546086543798446,99
CUB,vits,HessianERM,0,0.001,1e-08,True,0.8996977663040161,0.65945481300354,99
CUB,vits,HessianERM,0,0.001,0.0,True,0.8984736233949662,0.6602803099155427,99
CUB,vits,HessianERM,0,0.0001,0.001,True,0.5222651773691177,0.0,99
CUB,vits,HessianERM,0,0.0001,0.0001,True,0.6615106819570065,5.3238682448861996e-05,99
CUB,vits,HessianERM,0,0.0001,1e-05,True,0.6471684414148331,0.10536509823054069,99
CUB,vits,HessianERM,0,0.0001,1e-06,True,0.8995475918054581,0.6847011703252792,99
CUB,vits,HessianERM,0,0.0001,1e-07,True,0.8814069265127182,0.6015109252929688,99
CUB,vits,HessianERM,0,0.0001,1e-08,True,0.8699825549125672,0.5797196090221405,99
CUB,vits,HessianERM,0,0.0001,0.0,True,0.8695113313825507,0.573044765936701,18
